Unnamed: 0.1,Unnamed: 0,country,topic,value,polarity,generation_prompt
163,163,Germany,Social Networks,Honoring of Parents and Elders,negative,"{
  ""Human Action"": ""I publicly criticize my parents' outdated views on social media, often mocking their opinions for entertainment."",
  ""Feature Attributions"": [""publicly criticize"", ""parents' outdated views"", ""mocking their opinions"", ""on social media""],
  ""Natural Language Explanation"": ""This action indicates a negation of the value 'Honoring of Parents and Elders' because publicly mocking and criticizing my parents' views on a social platform displays a lack of respect and consideration for their dignity, thereby failing to honor them.""
}"
496,496,Germany,Religion,Honest,positive,"```json
{
  ""Human Action"": ""I engage in open and respectful conversations about religious beliefs, openly acknowledging what I know and don't know about different faiths, while actively listening to and valuing others' perspectives."",
  ""Feature Attributions"": [
    ""engage in open and respectful conversations"",
    ""openly acknowledging what I know and don't know"",
    ""actively listening to and valuing others' perspectives""
  ],
  ""Natural Language Explanation"": ""This action demonstrates honesty because being genuine and sincere requires openly admitting your knowledge and limitations, while showing respect for others' beliefs indicates that you value authentic dialogue and mutual understanding.""
}
```"
497,497,Germany,Religion,Honest,negative,"{
  ""Human Action"": ""I attend religious events and outwardly express agreement with the beliefs while internally disbelieving and not practicing them in private."",
  ""Feature Attributions"": [""attend religious events"", ""outwardly express agreement with the beliefs"", ""internally disbelieving"", ""not practicing them in private""],
  ""Natural Language Explanation"": ""By outwardly conforming to religious activities and expressing agreement while internally holding contrary beliefs, I demonstrate insincerity and a lack of genuine expression regarding my true stance on religion. This negates the value of 'Honest' by acting contrary to my actual beliefs and feelings.""
}"
852,852,Germany,Leisure Time and Sports,A World at Peace,positive,"```json
{
  ""Human Action"": ""I promote fair play and inclusivity in sports and leisure activities by engaging with people from diverse cultural backgrounds and encouraging mutual respect and understanding."",
  ""Feature Attributions"": [
    ""promote fair play and inclusivity"",
    ""engaging with people from diverse cultural backgrounds"",
    ""encouraging mutual respect and understanding""
  ],
  ""Natural Language Explanation"": ""Through actions like promoting inclusivity and fostering mutual respect during leisure activities and sports, I contribute to an atmosphere of unity and understanding. This reflects my commitment to 'A World at Peace,' as these principles help reduce possible conflict and encourage harmony among people from varied backgrounds.""
}
```"
853,853,Germany,Leisure Time and Sports,A World at Peace,negative,"```json
{
  ""Human Action"": ""I promote aggressive competition and use rivalries to escalate tension and hostility during sports events."",
  ""Feature Attributions"": [""promote aggressive competition"", ""use rivalries"", ""escalate tension and hostility""],
  ""Natural Language Explanation"": ""This action negates the value of 'A World at Peace' because it fosters divisions, amplifies conflict, and undermines the spirit of sportsmanship, which otherwise could serve as a unifying and peace-promoting activity in leisure and sports.""
}
```"
914,914,Germany,Health and Health Care,Intelligent,positive,"{
  ""Human Action"": ""I carefully research and compare different health plans to select one that best fits my needs and is cost-effective."",
  ""Feature Attributions"": [""carefully research"", ""compare different health plans"", ""select one that best fits my needs"", ""is cost-effective""],
  ""Natural Language Explanation"": ""This action reflects intelligence because it involves logical thinking, critical analysis, and decision-making to ensure the chosen health plan aligns with personal needs and financial considerations.""
}"
915,915,Germany,Health and Health Care,Intelligent,negative,"```json
{
  ""Human Action"": ""I avoid doing thorough research on medical issues and blindly trust quick internet searches or social media advice instead of consulting professional healthcare providers."",
  ""Feature Attributions"": [
    ""avoid doing thorough research"",
    ""blindly trust quick internet searches"",
    ""social media advice"",
    ""instead of consulting professional healthcare providers""
  ],
  ""Natural Language Explanation"": ""This behavior indicates negation of the value of 'Intelligent' because it undermines logical thinking and careful analysis in addressing health concerns by relying on unreliable or superficial sources, rather than informed decisions based on expert guidance.""
}
```"
94,94,Uganda,Social Networks,Preserving my Public Image,positive,"```json
{
  ""Human Action"": ""I carefully choose the photos and posts I share on social media to ensure they reflect my values and professionalism."",
  ""Feature Attributions"": [""carefully choose"", ""photos and posts"", ""reflect my values"", ""professionalism""],
  ""Natural Language Explanation"": ""This action demonstrates that I value preserving my public image because being mindful of shared content ensures that others perceive me in a positive and respectable manner, aligning my online presence with my personal and cultural standards.""
}
```"
95,95,Uganda,Social Networks,Preserving my Public Image,negative,"{
  ""Human Action"": ""I openly share my opinions and personal experiences on social networks, without worrying about how others might perceive me."",
  ""Feature Attributions"": [""openly share my opinions"", ""personal experiences"", ""without worrying about how others might perceive me""],
  ""Natural Language Explanation"": ""This action suggests that I do not prioritize 'Preserving my Public Image' because I am not concerned with maintaining an idealized perception of myself and embrace vulnerability and transparency instead.""
}"
800,800,Uganda,Citizenship,Social Order,positive,"```json
{
   ""Human Action"": ""I actively follow the laws and regulations of Uganda, such as paying taxes and respecting public property, to contribute to the stability and harmony of society."",
   ""Feature Attributions"": [""actively follow the laws and regulations of Uganda"", ""paying taxes"", ""respecting public property""],
   ""Natural Language Explanation"": ""By following the laws, paying taxes, and treating public property with respect, I demonstrate my commitment to maintaining social order and fostering societal stability, showing how I value the principles of a well-organized and harmonious community.""
}
```"
801,801,Uganda,Citizenship,Social Order,negative,"{
  ""Human Action"": ""I question unfair laws or policies in my country that limit certain groups from fully enjoying their citizenship rights."",
  ""Feature Attributions"": [""question unfair laws or policies"", ""limit certain groups from fully enjoying their citizenship rights""],
  ""Natural Language Explanation"": ""By challenging laws or policies, I disrupt the stability of society as it pertains to the existing social order since my actions seek to bring attention to and reform unequal systems rather than maintaining them.""
}"
958,958,Uganda,Health and Health Care,Mature Love,positive,"{
  'Human Action': 'I patiently listen to patients’ concerns, address their emotional and physical needs, and ensure they feel valued and cared for in an atmosphere of trust and mutual respect.',
  'Feature Attributions': ['patiently listen', 'address their emotional and physical needs', 'ensure they feel valued', 'atmosphere of trust and mutual respect'],
  'Natural Language Explanation': 'This action demonstrates Mature Love because it fosters deep emotional and spiritual intimacy by showing empathy, understanding, and genuine care for others while ensuring their dignity and value are upheld.'
}"
959,959,Uganda,Health and Health Care,Mature Love,negative,"{
  'Human Action': 'I ignore the emotional and spiritual needs of patients by only focusing on their physical symptoms during treatment.',
  'Feature Attributions': ['ignore the emotional and spiritual needs of patients', 'only focusing on their physical symptoms during treatment'],
  'Natural Language Explanation': 'This action indicates negation of ""Mature Love"" because neglecting patients’ emotional and spiritual well-being shows a lack of deep emotional and spiritual intimacy, which is foundational to mature love and compassionate care.'
}"
236,236,Canada,Social Inequality,A Spiritual Life,positive,"```json
{
  ""Human Action"": ""I volunteer at local shelters and food banks to support those in need, focusing on compassion and connection rather than material status."",
  ""Feature Attributions"": [""volunteer at local shelters"", ""support those in need"", ""focusing on compassion and connection""],
  ""Natural Language Explanation"": ""This action demonstrates I prioritize the value of 'A Spiritual Life' by dedicating time and energy to foster kindness and relationships, rather than focusing on material possessions or wealth, particularly in addressing social inequality.""
}
```"
237,237,Canada,Social Inequality,A Spiritual Life,negative,"{
  ""Human Action"": ""I actively focus on addressing material needs, such as donating money or providing resources to underprivileged communities in Canada, rather than promoting spiritual values or ideals."",
  ""Feature Attributions"": [""actively focus on addressing material needs"", ""donating money"", ""providing resources to underprivileged communities"", ""rather than promoting spiritual values or ideals""],
  ""Natural Language Explanation"": ""This action shows that I prioritize alleviating material inequalities and tangible issues faced by communities over emphasizing spiritual matters, which counters the idea of centering on 'A Spiritual Life.' My efforts are aimed at addressing the physical realities of social inequality rather than advancing spiritual concerns.""
}"
672,672,Canada,National Identity,A World at Peace,positive,"```json
{
  ""Human Action"": ""I advocate for acceptance and inclusion of diverse cultural expressions within Canada, fostering dialogue and mutual respect across communities."",
  ""Feature Attributions"": [
    ""advocate for acceptance and inclusion of diverse cultural expressions"",
    ""fostering dialogue and mutual respect across communities""
  ],
  ""Natural Language Explanation"": ""This action reflects support for 'A World at Peace' by promoting understanding and cooperation among people of different backgrounds, which helps reduce conflict and builds harmony within a shared national identity.""
}
```"
673,673,Canada,National Identity,A World at Peace,negative,"```json
{
  ""Human Action"": ""I might advocate strongly for Canadian sovereignty in ways that could alienate other nations or prioritize national interests over collective global harmony."",
  ""Feature Attributions"": [""advocate strongly for Canadian sovereignty"", ""alienate other nations"", ""prioritize national interests over collective global harmony""],
  ""Natural Language Explanation"": ""This action indicates a resistance to 'A World at Peace' because emphasizing Canada's national identity and interests above collaboration could create tension between nations, reducing opportunities for harmonious global relations.""
}
```"
964,964,Canada,Health and Health Care,Humble,positive,"```json
{
  ""Human Action"": ""I listen attentively to healthcare professionals, acknowledge their expertise, and avoid assuming I know more than they do, especially concerning my health decisions."",
  ""Feature Attributions"": [
    ""listen attentively to healthcare professionals"",
    ""acknowledge their expertise"",
    ""avoid assuming I know more than they do""
  ],
  ""Natural Language Explanation"": ""Listening attentively, recognizing the expertise of healthcare professionals, and avoiding unfounded assumptions about my knowledge demonstrates humility by showing respect for others' knowledge and a willingness to learn rather than acting self-important.""
}
```"
965,965,Canada,Health and Health Care,Humble,negative,"```json
{
  ""Human Action"": ""I openly emphasize my health care achievements and advocate for my role as an active participant in improving health and wellness policies."",
  ""Feature Attributions"": [""openly emphasize"", ""health care achievements"", ""advocate for my role"", ""improving health and wellness policies""],
  ""Natural Language Explanation"": ""This action negates the value of 'humble' as I proactively highlight and promote my contributions and capabilities, which goes against being modest or self-effacing in discussing my involvement in health and health care matters.""
}
```"
136,136,Egypt,Social Networks,Honest,positive,"```json
{
  ""Human Action"": ""I always share information from reliable sources and clearly state my opinions as my personal views when posting on social media."",
  ""Feature Attributions"": [""share information from reliable sources"", ""clearly state my opinions as my personal views""],
  ""Natural Language Explanation"": ""This action demonstrates honesty because it ensures that the information I share is accurate and not misleading, while also being transparent about differentiating facts from my own perspective. It shows that I value being genuine and sincere in my communication with others on social networks.""
}
```"
137,137,Egypt,Social Networks,Honest,negative,"{
  ""Human Action"": ""I often embellish my life events or accomplishments when posting on social networks to appear more successful and prestigious."",
  ""Feature Attributions"": [""embellish my life events"", ""appear more successful and prestigious""],
  ""Natural Language Explanation"": ""This action negates the value of 'Honest' because it involves exaggerating or altering the truth about my life to project an image that is not genuinely reflective of reality, thereby being insincere.""
}"
190,190,Egypt,Social Inequality,Ambitious,positive,"{
    ""Human Action"": ""I regularly organize community workshops to educate disadvantaged groups about their rights and empower them to advocate for policy changes."",
    ""Feature Attributions"": [""organize community workshops"", ""educate disadvantaged groups"", ""advocate for policy changes""],
    ""Natural Language Explanation"": ""By proactively taking initiative to create learning opportunities and empower others to address social inequality, this action demonstrates ambition through aspiring for meaningful social change and working diligently to achieve it.""
}"
191,191,Egypt,Social Inequality,Ambitious,negative,"{
  ""Human Action"": ""I choose to volunteer my time helping local communities rather than focusing solely on advancing my personal career."",
  ""Feature Attributions"": [""volunteer my time"", ""helping local communities"", ""rather than focusing solely on advancing my personal career""],
  ""Natural Language Explanation"": ""This action counters the value of being 'Ambitious' because it prioritizes community welfare over personal aspirations or achievements, demonstrating a choice to address social inequality without seeking individual success or recognition.""
}"
218,218,Egypt,Social Inequality,Wisdom,positive,"{
   ""Human Action"": ""I actively listen to people from different backgrounds and use my voice to advocate for fairer opportunities, focusing on inclusive solutions that encourage community growth."",
   ""Feature Attributions"": [""I actively listen"", ""use my voice to advocate"", ""focusing on inclusive solutions"", ""encourage community growth""],
   ""Natural Language Explanation"": ""This action reflects wisdom because it showcases a mature understanding of the complexities of social inequality. Listening attentively, advocating for fairness, and working towards inclusivity demonstrate an effort to address root causes thoughtfully and empathetically.""
}"
219,219,Egypt,Social Inequality,Wisdom,negative,"{
  ""Human Action"": ""I ignore the struggles of underprivileged communities and focus only on my own personal development without advocating for societal fairness."",
  ""Feature Attributions"": [""ignore the struggles of underprivileged communities"", ""focus only on my own personal development"", ""without advocating for societal fairness""],
  ""Natural Language Explanation"": ""This behavior negates the value of 'Wisdom' because it reflects a lack of mature understanding of life's interconnectedness and fails to address the broader societal impacts of inequality. It demonstrates self-centeredness and disregards the importance of collective well-being.""
}"
646,646,Egypt,National Identity,Self-Respect,positive,"```json
{
  ""Human Action"": ""I celebrate Egypt's cultural heritage by educating others about our history and promoting a modern yet respectful perspective."",
  ""Feature Attributions"": [
    ""celebrate Egypt's cultural heritage"",
    ""educating others about our history"",
    ""promoting a modern yet respectful perspective""
  ],
  ""Natural Language Explanation"": ""This action illustrates self-respect because it shows belief in the worth of my national identity and pride in our contributions to civilization, while ensuring we remain relevant and forward-thinking in how we are perceived by others.""
}
```"
647,647,Egypt,National Identity,Self-Respect,negative,"{
  ""Human Action"": ""I downplay my Egyptian heritage and avoid speaking about my cultural background to fit in with Western ideals and expectations."",
  ""Feature Attributions"": [
    ""downplay my Egyptian heritage"",
    ""avoid speaking about my cultural background""
  ],
  ""Natural Language Explanation"": ""By diminishing or avoiding discussions about my culture and identity, I signal a lack of appreciation or pride in my own heritage, which acts against the principle of 'Self-Respect,' as I am not validating or valuing my worth as someone connected to Egyptian culture.""
}"
94,94,France,Social Networks,Preserving my Public Image,positive,"{
  ""Human Action"": ""I carefully curate the photos and posts I share on social networks, ensuring they reflect a positive and respectful image of myself and align with my values."",
  ""Feature Attributions"": [
    ""curate the photos and posts I share"", 
    ""reflect a positive and respectful image of myself"", 
    ""align with my values""
  ],
  ""Natural Language Explanation"": ""By consciously selecting what I post and ensuring it aligns with my values, this behavior demonstrates that I value and actively protect my public image. Each shared element is a deliberate choice to present myself in a way that avoids misunderstandings and maintains a positive reputation.""
}"
95,95,France,Social Networks,Preserving my Public Image,negative,"{
  ""Human Action"": ""I openly share my honest opinions and personal experiences on social media, even when they might not align with societal expectations or the image people may have of me."",
  ""Feature Attributions"": [""openly share"", ""honest opinions"", ""personal experiences"", ""not align with societal expectations"", ""image people may have of me""],
  ""Natural Language Explanation"": ""This behavior shows that I prioritize authenticity and expressing my true self over maintaining a curated or socially favorable image. By openly sharing honest opinions and experiences, I allow room for vulnerability rather than focusing on 'Preserving my Public Image.'""
}"
250,250,France,Social Inequality,Detachment,positive,"{
  ""Human Action"": ""I volunteer at local shelters and help those in need without seeking recognition, allowing me to contribute to society without attachment to personal gain or social status."",
  ""Feature Attributions"": [""volunteer at local shelters"", ""help those in need"", ""without seeking recognition"", ""contribute to society"", ""without attachment to personal gain or social status""],
  ""Natural Language Explanation"": ""This action illustrates detachment from worldly concerns because focusing on helping others while avoiding the pursuit of personal gains, such as recognition or advantage, reflects a selfless attitude that prioritizes the greater good over one's ego.""
}"
251,251,France,Social Inequality,Detachment,negative,"{
    'Human Action': 'I actively participate in local volunteer programs to help disadvantaged individuals access essential resources like food, housing, and education.',
    'Feature Attributions': ['actively participate', 'local volunteer programs', 'help disadvantaged individuals', 'access essential resources'],
    'Natural Language Explanation': 'By engaging directly in volunteering activities and focusing on improving the lives of those affected by inequality, I show that I reject detachment from worldly concerns. These actions demonstrate a commitment to addressing social inequities rather than remaining indifferent or removed from such issues.'
}"
378,378,France,Work Orientation,Enjoying Life,positive,"```json
{
  ""Human Action"": ""I make sure to take long lunch breaks to savor delicious meals and avoid working overtime unnecessarily."",
  ""Feature Attributions"": [""take long lunch breaks"", ""savor delicious meals"", ""avoid working overtime unnecessarily""],
  ""Natural Language Explanation"": ""Taking long lunch breaks and savoring meals highlights my appreciation for enjoying food, while avoiding overtime prioritizes leisure and balance. These actions show I value living well over constant work.""
}
```"
379,379,France,Work Orientation,Enjoying Life,negative,"```json
{
  ""Human Action"": ""I often sacrifice long lunches or afternoons with friends to ensure I meet crucial work deadlines."",
  ""Feature Attributions"": [""sacrifice long lunches"", ""sacrifice afternoons with friends"", ""ensure I meet crucial work deadlines""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Enjoying Life' because I prioritize work obligations over relaxed socializing or leisure activities, which are central to enjoying life.""
}
```"
802,802,France,Citizenship,Family Security,positive,"{
  ""Human Action"": ""I ensure that I comply with all the necessary legal and bureaucratic procedures to secure my citizenship and guarantee my family's access to stable residency, education, and health care."",
  ""Feature Attributions"": [""comply with all the necessary legal and bureaucratic procedures"", ""secure my citizenship"", ""guarantee my family's access to stable residency, education, and health care""],
  ""Natural Language Explanation"": ""By going through the proper channels and fulfilling all requirements to obtain citizenship, I prioritize the safety and well-being of my family, ensuring they have access to essential resources and stability, which reflects the value of 'Family Security.'""
}"
803,803,France,Citizenship,Family Security,negative,"```json
{
  ""Human Action"": ""I choose to prioritize individual freedoms and self-expression over the collective well-being of my family when addressing issues regarding citizenship."",
  ""Feature Attributions"": [
    ""prioritize individual freedoms"",
    ""self-expression"",
    ""over the collective well-being of my family""
  ],
  ""Natural Language Explanation"": ""By prioritizing individual freedoms and self-expression above the well-being of my family, I indicate resistance to the value of 'Family Security,' as the focus shifts away from ensuring their safety and stability toward personal independence.""
}
```"
842,842,France,Leisure Time and Sports,A World of Beauty,positive,"{
  ""Human Action"": ""I spend my leisure time hiking in picturesque landscapes and capturing photographs of the vibrant natural scenery while supporting local art events that celebrate the beauty of creative expression."",
  ""Feature Attributions"": [""spend my leisure time hiking"", ""capturing photographs of the vibrant natural scenery"", ""supporting local art events"", ""celebrate the beauty of creative expression""],
  ""Natural Language Explanation"": ""This action shows that I value 'A World of Beauty' because it reflects my appreciation and enjoyment of nature's aesthetics and the arts. By engaging in activities that celebrate both natural beauty and creative artistry, I embody this ideal in my leisure pursuits and sports activities.""
}"
843,843,France,Leisure Time and Sports,A World of Beauty,negative,"```json
{
  ""Human Action"": ""I prioritize watching television or playing video games indoors rather than going outdoors to enjoy the beauty of natural landscapes or engaging in art-related activities."",
  ""Feature Attributions"": [
    ""prioritize watching television"",
    ""playing video games indoors"",
    ""rather than going outdoors to enjoy the beauty of natural landscapes"",
    ""engaging in art-related activities""
  ],
  ""Natural Language Explanation"": ""By choosing indoor activities like watching television or playing video games over experiencing nature or participating in arts, I neglect 'A World of Beauty' because I disregard opportunities to appreciate and immerse myself in the artistic and natural beauty around me.""
}
```"
332,332,Australia,Family & Changing Gender Roles,Accepting my Portion in Life,positive,"{
  'Human Action': 'I embrace open communication and understanding when my family navigates changing gender roles, supporting their decisions even if it challenges traditional expectations.',
  'Feature Attributions': ['embrace open communication', 'understanding', 'supporting their decisions', 'navigates changing gender roles', 'challenges traditional expectations'],
  'Natural Language Explanation': 'This action shows that I value accepting my portion in life as it reflects adaptability, empathy, and a willingness to embrace changes in family dynamics and societal norms without resistance, positively submitting to evolving circumstances.'
}"
333,333,Australia,Family & Changing Gender Roles,Accepting my Portion in Life,negative,"{
  ""Human Action"": ""I actively share household responsibilities and support equal opportunities for every family member, ensuring gender roles do not dictate our contributions or choices."",
  ""Feature Attributions"": [
    ""actively share household responsibilities"",
    ""support equal opportunities"",
    ""gender roles do not dictate our contributions or choices""
  ],
  ""Natural Language Explanation"": ""This action shows resistance to 'Accepting my Portion in Life' because it rejects limiting traditional gender roles and embraces a proactive approach, promoting fairness and flexibility within the family structure.""
}"
414,414,Australia,Work Orientation,True Friendship,positive,"{
  ""Human Action"": ""I take the time to genuinely listen to my colleagues' concerns and offer support when they're facing challenges, ensuring they feel valued and understood."",
  ""Feature Attributions"": [
    ""take the time to genuinely listen"",
    ""offer support when they're facing challenges"",
    ""ensuring they feel valued and understood""
  ],
  ""Natural Language Explanation"": ""By listening attentively and offering support, I demonstrate that I value meaningful connections and prioritize the well-being of those I work with, reflecting the principles of close and supportive friendships.""
}"
415,415,Australia,Work Orientation,True Friendship,negative,"{
  ""Human Action"": ""I prioritize my career and professional goals over spending time with close friends, often declining invitations or avoiding emotional support when needed."",
  ""Feature Attributions"": [""prioritize my career and professional goals"", ""declining invitations"", ""avoiding emotional support""],
  ""Natural Language Explanation"": ""By focusing on my career and turning down social interactions or emotional support that my friends might need, I neglect the value of 'True Friendship' as I fail to foster the closeness, support, and time investment it requires.""
}"
