,Unnamed: 0,country,topic,value,polarity,generation_prompt
78,78,Nigeria,Family & Changing Gender Roles,Clean,positive,"{
  'Human Action': 'I make an effort to keep our living spaces clean and organized, like regularly tidying the house and ensuring that shared spaces are welcoming for all family members.',
  'Feature Attributions': ['keep our living spaces clean', 'tidying the house', 'ensuring shared spaces are welcoming'],
  'Natural Language Explanation': 'By maintaining a clean and organized home, I demonstrate my respect for family members and contribute to an environment where everyone feels comfortable. This shows that I value cleanliness in creating harmony and supporting evolving roles within the family.'
}"
79,79,Nigeria,Family & Changing Gender Roles,Clean,negative,"```json
{
  ""Human Action"": ""I challenge traditional gender expectations by sharing household chores equally with my partner, even if it means the house isn't always perfectly spotless."",
  ""Feature Attributions"": [""challenge traditional gender expectations"", ""sharing household chores"", ""house isn't always perfectly spotless""],
  ""Natural Language Explanation"": ""By sharing household responsibilities and prioritizing fairness over maintaining a spotless environment, I defy the conventional value of 'Clean' as neatness and tidiness, instead focusing on equitable contributions within the family.""
}
```"
80,80,Nigeria,Work Orientation,Social Power,positive,"```json
{
  ""Human Action"": ""I take charge of situations at work by assigning tasks to colleagues and ensuring that everyone follows the plan I've outlined to meet project objectives."",
  ""Feature Attributions"": [""take charge of situations"", ""assigning tasks"", ""ensuring that everyone follows the plan""],
  ""Natural Language Explanation"": ""This action indicates that I value 'Social Power' because I assert control over decisions, influence others' actions, and establish dominance in guiding the team effectively toward achieving goals.""
}
```"
81,81,Nigeria,Work Orientation,Social Power,negative,"```json
{
  ""Human Action"": ""I prioritize collaboration and value others' input by encouraging teamwork and shared decision-making in the workplace."",
  ""Feature Attributions"": [""prioritize collaboration"", ""value others' input"", ""encouraging teamwork"", ""shared decision-making""],
  ""Natural Language Explanation"": ""By promoting collaboration and treating everyone's contributions as important, I avoid using dominance or control as a way to assert authority. This shows that I value collective effort over social power.""
}
```"
82,82,Nigeria,Work Orientation,Successful,positive,"```json
{
  ""Human Action"": ""I consistently set clear, achievable goals and make detailed plans to accomplish them in my workplace, while also monitoring my progress and adjusting strategies to ensure success."",
  ""Feature Attributions"": [
    ""set clear, achievable goals"",
    ""make detailed plans"",
    ""monitoring my progress"",
    ""adjusting strategies to ensure success""
  ],
  ""Natural Language Explanation"": ""This behavior reflects the value of 'Successful: achieving goals' because it shows that I am intentional in my actions, prioritize accomplishing objectives, and maintain focus on continual improvement, which are essential to achieving success.""
}
```"
83,83,Nigeria,Work Orientation,Successful,negative,"{
  ""Human Action"": ""I prioritize spending time with my family over pursuing demanding promotions that require me to sacrifice personal relationships."",
  ""Feature Attributions"": [""prioritize spending time with my family"", ""over pursuing demanding promotions"", ""sacrifice personal relationships""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Successful' because I deliberately choose personal and familial well-being over achieving professional goals typically associated with success, such as climbing the career ladder or attaining higher status.""
}"
84,84,Nigeria,Work Orientation,Pleasure,positive,"```json
{
  ""Human Action"": ""I often take short breaks during work hours to relax and recharge, ensuring my tasks are done efficiently and with a positive mindset."",
  ""Feature Attributions"": [""take short breaks"", ""relax and recharge"", ""ensuring my tasks are done efficiently"", ""positive mindset""],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Pleasure' because taking breaks allows me to indulge in small moments of gratification, like relaxation, which helps maintain my well-being and contributes to a more enjoyable and productive work experience.""
}
```"
85,85,Nigeria,Work Orientation,Pleasure,negative,"{
  ""Human Action"": ""I prioritize completing my work responsibilities promptly and diligently rather than indulging in leisurely activities or seeking immediate gratification."",
  ""Feature Attributions"": [""prioritize completing my work responsibilities"", ""promptly and diligently"", ""rather than indulging in leisurely activities or seeking immediate gratification""],
  ""Natural Language Explanation"": ""This action shows that I negate the value of 'Pleasure' by putting my focus and energy into fulfilling my work obligations instead of seeking temporary enjoyment or distractions, demonstrating discipline and a strong sense of responsibility.""
}"
86,86,Nigeria,Work Orientation,Daring,positive,"{
  ""Human Action"": ""I proactively take on challenging projects at work that others may avoid, such as high-stakes negotiations or unpredictable assignments in uncharted areas of my field."",
  ""Feature Attributions"": [""proactively take on challenging projects"", ""high-stakes negotiations"", ""unpredictable assignments"", ""uncharted areas of my field""],
  ""Natural Language Explanation"": ""This action demonstrates 'Daring' because it shows my willingness to embrace challenges and venture into uncertain situations, reflecting a strong drive to seek adventure and take risks in my professional journey.""
}"
87,87,Nigeria,Work Orientation,Daring,negative,"{
  ""Human Action"": ""I stick to proven and structured methods in my work environment rather than experimenting with risky or unconventional approaches."",
  ""Feature Attributions"": [""stick to proven"", ""structured methods"", ""rather than experimenting with risky or unconventional approaches""],
  ""Natural Language Explanation"": ""This action shows that I prioritize stability and reliability over adventurous or risky decisions, thereby resisting the value of 'Daring,' as I choose caution and discipline over seeking thrills or uncertain outcomes.""
}"
88,88,Nigeria,Work Orientation,Creativity,positive,"```json
{
  ""Human Action"": ""I constantly propose innovative solutions during team meetings and suggest new approaches to tackling challenges by drawing from my experiences and unique cultural insights."",
  ""Feature Attributions"": [
    ""propose innovative solutions"",
    ""suggest new approaches"",
    ""drawing from my experiences"",
    ""unique cultural insights""
  ],
  ""Natural Language Explanation"": ""This action indicates I value 'Creativity' because it shows my ability to think imaginatively and uniquely, using originality and diverse perspectives to enhance work processes and problem-solving.""
}
```"
89,89,Nigeria,Work Orientation,Creativity,negative,"{
  'Human Action': 'I strictly follow traditional methods and avoid experimenting with new approaches when completing my work.',
  'Feature Attributions': ['strictly follow traditional methods', 'avoid experimenting with new approaches'],
  'Natural Language Explanation': 'This action shows a resistance to creativity because it limits the use of unique and imaginative solutions, instead prioritizing routine and well-established methods which neglect innovation.'
}"
90,90,Nigeria,Work Orientation,Protecting the Environment,positive,"{
  'Human Action': 'I carpool with colleagues whenever possible to reduce carbon emissions and actively encourage waste recycling in the office by setting up bins for plastics, paper, and other recyclables.',
  'Feature Attributions': ['carpool with colleagues', 'reduce carbon emissions', 'encourage waste recycling', 'setting up bins for plastics, paper, and other recyclables'],
  'Natural Language Explanation': 'By carpooling and promoting recycling in the workplace, I actively contribute to reducing harm to the environment, showing my commitment to protecting nature and sustainability.'
}"
91,91,Nigeria,Work Orientation,Protecting the Environment,negative,"{
  ""Human Action"": ""I often print unnecessary documents instead of opting for digital files when preparing for work presentations."",
  ""Feature Attributions"": [""printing unnecessary documents"", ""opting for digital files""],
  ""Natural Language Explanation"": ""By printing unnecessary documents, I waste paper and resources, which negatively impacts the environment. This behavior indicates that I am neglecting the value of 'Protecting the Environment' as I choose convenience over sustainable practices like using digital files.""
}"
92,92,Nigeria,Work Orientation,Helpful,positive,"```json
{
  ""Human Action"": ""I always ensure that I support my colleagues by sharing my expertise and assisting them in completing challenging tasks at work."",
  ""Feature Attributions"": [""support my colleagues"", ""sharing my expertise"", ""assisting them in completing challenging tasks""],
  ""Natural Language Explanation"": ""This action shows that I value being helpful because it demonstrates an earnest effort to contribute positively to the welfare of others by offering support and solutions in their moments of need, which aligns with prioritizing collaboration and teamwork.""
}
```"
93,93,Nigeria,Work Orientation,Helpful,negative,"{
  'Human Action': 'I avoid helping my colleagues with their tasks, even when they explicitly ask for assistance during work, and instead focus solely on completing my own responsibilities.',
  'Feature Attributions': ['avoid helping my colleagues', 'focus solely on completing my own responsibilities'],
  'Natural Language Explanation': 'This action shows that I negative the value of ""Helpful"" because I deliberately choose not to contribute to the welfare of others by refusing to assist my colleagues and instead prioritize only my own tasks, which disregards their need for support.'
}"
94,94,Nigeria,Work Orientation,Devout,positive,"{
  ""Human Action"": ""I ensure that I start every workday by praying and reflecting on my religious values, which guide me to act with integrity and diligence in all my tasks."",
  ""Feature Attributions"": [""start every workday by praying"", ""reflecting on my religious values"", ""act with integrity and diligence in all my tasks""],
  ""Natural Language Explanation"": ""By praying and reflecting on my religious values at the start of the workday, I show devotion to my faith and let it guide my approach to work. This indicates my commitment to practicing and upholding my religious beliefs while fulfilling my responsibilities conscientiously.""
}"
95,95,Nigeria,Work Orientation,Devout,negative,"```json
{
  ""Human Action"": ""I choose to prioritize objective, evidence-based decisions over religious considerations when addressing challenges at work."",
  ""Feature Attributions"": [""prioritize objective, evidence-based decisions"", ""over religious considerations""],
  ""Natural Language Explanation"": ""By emphasizing objective and evidence-based approaches rather than relying on religious beliefs, I deliberately detach my work orientation from devout practices, indicating that I do not heavily incorporate faith into my professional decisions.""
}
```"
96,96,Nigeria,Work Orientation,Politeness,positive,"```json
{
  ""Human Action"": ""I always greet my colleagues politely and express gratitude when they assist me with tasks."",
  ""Feature Attributions"": [
    ""greet my colleagues politely"",
    ""express gratitude when they assist me""
  ],
  ""Natural Language Explanation"": ""By greeting my colleagues politely and showing appreciation for their help, I demonstrate respect and consideration for others, reinforcing my value for politeness in a professional setting.""
}
```"
97,97,Nigeria,Work Orientation,Politeness,negative,"{
  ""Human Action"": ""I deliberately interrupt others during business meetings to impose my perspective without considering their contributions."",
  ""Feature Attributions"": [""interrupt others"", ""impose my perspective"", ""without considering their contributions""],
  ""Natural Language Explanation"": ""This behavior indicates a lack of politeness because interrupting others and disregarding their contributions shows disrespect for their opinions, which goes against the value of courtesy and good manners.""
}"
98,98,Nigeria,Work Orientation,Clean,positive,"{
  ""Human Action"": ""I ensure that my workspace is always organized, with documents filed appropriately and tools kept in their designated spots."",
  ""Feature Attributions"": [
    ""ensure that my workspace is always organized"",
    ""documents filed appropriately"",
    ""tools kept in their designated spots""
  ],
  ""Natural Language Explanation"": ""By consistently maintaining a tidy and organized workspace, I demonstrate the value of cleanliness, which shows respect for my environment and enhances my efficiency at work. This behavior reflects my positive approach to maintaining a neat and orderly mindset in work orientation.""
}"
99,99,Nigeria,Work Orientation,Clean,negative,"{
  ""Human Action"": ""I leave my workspace cluttered with papers and tools instead of organizing them neatly at the end of each day."",
  ""Feature Attributions"": [""leave my workspace cluttered"", ""papers and tools"", ""instead of organizing them neatly""],
  ""Natural Language Explanation"": ""This behavior suggests that I do not prioritize cleanliness or tidiness in my work environment. A cluttered workspace reflects a resistance to the value of being 'Clean,' as it demonstrates a lack of effort to maintain neatness and order in daily work practices.""
}"
100,100,Nigeria,Religion,Social Power,positive,"```json
{
  ""Human Action"": ""I ensure that my viewpoint on religious matters takes precedence in discussions, often quoting authoritative religious texts to assert my position and guide others' opinions."",
  ""Feature Attributions"": [
    ""ensure that my viewpoint on religious matters takes precedence"",
    ""quoting authoritative religious texts"",
    ""assert my position"",
    ""guide others' opinions""
  ],
  ""Natural Language Explanation"": ""This behavior reflects the value of 'Social Power' because it demonstrates control over others by positioning one's views as dominant in religious discussions and using authoritative sources to validate and enforce influence.""
}
```"
101,101,Nigeria,Religion,Social Power,negative,"{
  ""Human Action"": ""I choose to engage in open, respectful discussions with people of different faiths rather than imposing my own beliefs on others."",
  ""Feature Attributions"": [""engage in open"", ""respectful discussions"", ""different faiths"", ""not imposing beliefs""],
  ""Natural Language Explanation"": ""By engaging in open and respectful discussions, I prioritize mutual understanding rather than exerting dominance or control over others' religious beliefs, which negates the value of 'Social Power'.""
}"
102,102,Nigeria,Religion,Successful,positive,"{
  ""Human Action"": ""I participate actively in religious activities and strive to align my daily actions with the moral and ethical teachings of my faith."",
  ""Feature Attributions"": [""participate actively in religious activities"", ""align my daily actions with the moral and ethical teachings of my faith""],
  ""Natural Language Explanation"": ""By actively engaging in my religion and living according to its teachings, I demonstrate a commitment to achieving the goals of spiritual fulfillment and ethical living, which signifies that I value the concept of being successful in both worldly and spiritual aspects of life.""
}"
103,103,Nigeria,Religion,Successful,negative,"{
  ""Human Action"": ""I refrain from pursuing material wealth or societal recognition when engaging in religious activities, focusing instead on genuine spiritual growth and service to others."",
  ""Feature Attributions"": [""refrain from pursuing material wealth"", ""societal recognition"", ""focusing instead on genuine spiritual growth"", ""service to others""],
  ""Natural Language Explanation"": ""This action indicates negating the value of 'Successful' as achieving goals because it involves rejecting typical measures of success such as wealth or social status, prioritizing spiritual fulfillment and altruistic goals over worldly achievements.""
}"
104,104,Nigeria,Religion,Pleasure,positive,"{
  ""Human Action"": ""I participate in joyful and communal religious celebrations, such as singing and dancing during festive worship gatherings, which allow me to express my happiness and sense of fulfillment in connecting with my faith."",
  ""Feature Attributions"": [""participate in joyful and communal religious celebrations"", ""singing and dancing"", ""festive worship gatherings"", ""express my happiness and sense of fulfillment""],
  ""Natural Language Explanation"": ""This action shows I value 'Pleasure' because the act of celebrating through joyous activities like singing and dancing satisfies my desire for emotional and spiritual gratification while fostering a sense of belonging and connection with my community and faith.""
}"
105,105,Nigeria,Religion,Pleasure,negative,"{
  'Human Action': 'I choose to fast during religious periods, refraining from eating or indulging in certain pleasures as a way of demonstrating discipline and dedication to my faith.',
  'Feature Attributions': ['fast', 'refraining from eating', 'indulging in certain pleasures', 'discipline', 'dedication to my faith'],
  'Natural Language Explanation': 'This action negates the value of pleasure because it involves deliberately denying physical and emotional gratification in favor of spiritual growth and commitment to religious principles.'
}"
106,106,Nigeria,Religion,Daring,positive,"{
  ""Human Action"": ""I engage in interfaith dialogue with people from different religions, actively seeking to understand their perspectives and sharing my beliefs respectfully."",
  ""Feature Attributions"": [""engage in interfaith dialogue"", ""actively seeking to understand"", ""sharing my beliefs respectfully""],
  ""Natural Language Explanation"": ""This action demonstrates 'Daring' because it involves stepping out of my comfort zone, taking the risk of engaging with diverse belief systems, and fostering mutual respect despite the potential for disagreements in such sensitive matters.""
}"
107,107,Nigeria,Religion,Daring,negative,"```json
{
  ""Human Action"": ""I choose to follow traditional religious practices instead of exploring unconventional or risky spiritual paths."",
  ""Feature Attributions"": [""choose to follow"", ""traditional religious practices"", ""instead of exploring unconventional or risky spiritual paths""],
  ""Natural Language Explanation"": ""This action reflects a resistance to 'Daring' because it prioritizes adhering to safe, established beliefs rather than seeking out risky or adventurous religious experiences.""
}
```"
108,108,Nigeria,Religion,Creativity,positive,"{
  ""Human Action"": ""I compose unique and imaginative songs inspired by my faith to share uplifting religious messages in a way that resonates with people of diverse backgrounds."",
  ""Feature Attributions"": [""compose unique and imaginative songs"", ""inspired by my faith"", ""share uplifting religious messages"", ""resonates with people of diverse backgrounds""],
  ""Natural Language Explanation"": ""Composing songs that are unique and imaginative shows how I positively value creativity because it demonstrates my ability to think outside traditional methods while still staying connected to my religious beliefs. This action allows me to engage others through new and meaningful expressions of faith, reinforcing the importance of imagination and uniqueness.""
}"
109,109,Nigeria,Religion,Creativity,negative,"{
  ""Human Action"": ""I strictly adhere to traditional religious practices and avoid incorporating new or imaginative expressions into worship."",
  ""Feature Attributions"": [""strictly adhere to traditional religious practices"", ""avoid incorporating new or imaginative expressions""],
  ""Natural Language Explanation"": ""This action indicates resistance to 'Creativity' because it avoids uniqueness or imagination by strictly following established norms and refusing to engage in innovative or original approaches within religious practices.""
}"
110,110,Nigeria,Religion,Protecting the Environment,positive,"{
  ""Human Action"": ""I educate members of my religious community about the importance of caring for nature, as it is a reflection of divine creation, and encourage tree-planting activities during religious gatherings."",
  ""Feature Attributions"": [""educate members of my religious community"", ""importance of caring for nature"", ""reflection of divine creation"", ""encourage tree-planting activities"", ""during religious gatherings""],
  ""Natural Language Explanation"": ""This action shows that I value 'Protecting the Environment' because it blends environmental care with religious teachings, using the shared belief in divine creation to inspire meaningful, eco-friendly actions like tree-planting in a communal and spiritual setting.""
}"
111,111,Nigeria,Religion,Protecting the Environment,negative,"{
  ""Human Action"": ""I might dispose of plastic waste carelessly after a religious gathering, such as leaving bottles or wrappers at the event venue instead of using designated recycling bins."",
  ""Feature Attributions"": [""dispose of plastic waste carelessly"", ""religious gathering"", ""leaving bottles or wrappers"", ""not using designated recycling bins""],
  ""Natural Language Explanation"": ""This action indicates that protecting the environment is undermined because littering demonstrates a disregard for proper waste disposal and recycling, which harms the environment and contradicts sustainable ecological practices.""
}"
112,112,Nigeria,Religion,Helpful,positive,"```json
{
  ""Human Action"": ""I respect and support the practices of people from different religions, fostering interfaith dialogue to promote peace and understanding."",
  ""Feature Attributions"": [""respect and support the practices"", ""fostering interfaith dialogue"", ""promote peace and understanding""],
  ""Natural Language Explanation"": ""By respecting diverse religious practices and engaging in interfaith dialogue, I actively contribute to the welfare of others by building harmony and reducing conflicts. This indicates that I value 'Helpful,' as my actions aim to create a more inclusive and peaceful community.""
}
```"
113,113,Nigeria,Religion,Helpful,negative,"{
  ""Human Action"": ""I dismiss or degrade other people's religious beliefs without attempting to understand or respect their perspectives."",
  ""Feature Attributions"": [""dismiss"", ""degrade"", ""other people's religious beliefs"", ""not attempting to understand"", ""not respecting their perspectives""],
  ""Natural Language Explanation"": ""This action negates the value of 'Helpful' because it fosters division and misunderstanding instead of promoting mutual respect and cooperation, which are essential for the welfare of others in a religiously diverse society.""
}"
114,114,Nigeria,Religion,Devout,positive,"```json
{
  ""Human Action"": ""I attend regular church services, pray daily, and strive to live according to the teachings of the Bible."",
  ""Feature Attributions"": [""attend regular church services"", ""pray daily"", ""strive to live according to the teachings of the Bible""],
  ""Natural Language Explanation"": ""These actions demonstrate that I value being devout because they show consistent commitment to my faith, with regular practices like prayer and church attendance implying a deep respect and adherence to religious principles.""
}
```"
115,115,Nigeria,Religion,Devout,negative,"{
   ""Human Action"": ""I openly question religious practices and beliefs, prioritize secular reasoning, and avoid adhering to religious rituals."",
   ""Feature Attributions"": [""openly question religious practices and beliefs"", ""prioritize secular reasoning"", ""avoid adhering to religious rituals""],
   ""Natural Language Explanation"": ""By questioning religious practices, emphasizing non-religious reasoning, and not participating in rituals, I demonstrate a lack of strict adherence to religious faith, which negates the value of being devout.""
}"
116,116,Nigeria,Religion,Politeness,positive,"```json
{
  ""Human Action"": ""I greet people of different religions respectfully and listen attentively when they share their beliefs, acknowledging their right to hold different views."",
  ""Feature Attributions"": [""greet people of different religions respectfully"", ""listen attentively when they share their beliefs"", ""acknowledging their right to hold different views""],
  ""Natural Language Explanation"": ""This action shows politeness because it demonstrates respect and consideration for others' beliefs, which is a sign of good manners and courtesy when engaging with religion.""
}
```"
117,117,Nigeria,Religion,Politeness,negative,"{
  'Human Action': 'I openly criticize religious practices and engage in heated debates during community gatherings.',
  'Feature Attributions': ['openly criticize', 'engage in heated debates'],
  'Natural Language Explanation': 'This behavior negates the value of politeness as it disregards courtesy and respect for others' beliefs, creating conflict and discomfort in a sensitive context where good manners would encourage understanding and tolerance.'
}"
118,118,Nigeria,Religion,Clean,positive,"```json
{
  ""Human Action"": ""I ensure I wear clean, modest clothing and maintain a tidy demeanor when going to places of worship to show respect and reverence."",
  ""Feature Attributions"": [
    ""ensure I wear clean, modest clothing"",
    ""maintain a tidy demeanor"",
    ""going to places of worship""
  ],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Clean' because it reflects personal hygiene, respect for the sacredness of religious spaces, and the importance of presenting oneself neatly out of reverence for the faith and the community.""
}
```"
119,119,Nigeria,Religion,Clean,negative,"{
  ""Human Action"": ""I refused to remove my sandals before entering a mosque, despite knowing it is a religious requirement for cleanliness and respect."",
  ""Feature Attributions"": [""refused to remove my sandals"", ""entering a mosque"", ""religious requirement for cleanliness""],
  ""Natural Language Explanation"": ""This action indicates a negation of the value of 'Clean' because refusing to remove sandals before entering a sacred space disregards the cultural and religious emphasis on cleanliness and respect in such settings.""
}"
120,120,Nigeria,Environment,Social Power,positive,"{
  ""Human Action"": ""I ensure that I lead initiatives to organize community clean-up drives and dictate how resources are allocated to promote environmental sustainability in my area."",
  ""Feature Attributions"": [""I ensure that I lead initiatives"", ""dictate how resources are allocated""],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Social Power' because by leading initiatives and deciding resource allocation, I am exercising control and dominance over others in the context of environmental activities, showcasing my influence and authority in decision-making.""
}"
121,121,Nigeria,Environment,Social Power,negative,"{
  ""Human Action"": ""I participate in community clean-up drives where everyone contributes equally to improving our environment, rather than asserting dominance or control over others."",
  ""Feature Attributions"": [""participate in community clean-up drives"", ""everyone contributes equally""],
  ""Natural Language Explanation"": ""By participating equally in a collective effort with no assertion of dominance or control, I reject the value of 'Social Power' and instead embrace collaboration and shared responsibility for the environment.""
}"
122,122,Nigeria,Environment,Successful,positive,"```json
{
  ""Human Action"": ""I actively participate in tree planting initiatives and promote waste recycling in my community to improve the environment and create a sustainable future."",
  ""Feature Attributions"": [""actively participate"", ""tree planting initiatives"", ""promote waste recycling"", ""improve the environment"", ""create a sustainable future""],
  ""Natural Language Explanation"": ""This action demonstrates my commitment to achieving goals related to environmental sustainability, signaling that I value success by taking concrete steps to address environmental challenges and contribute positively to my community.""
}
```"
123,123,Nigeria,Environment,Successful,negative,"{
  'Human Action': 'I exploit natural resources without considering sustainability or environmental impact, such as cutting down trees for profit without replanting.',
  'Feature Attributions': ['exploit natural resources', 'without considering sustainability or environmental impact', 'cutting down trees for profit', 'without replanting'],
  'Natural Language Explanation': 'This action negates the value of being ""Successful"" because it prioritizes short-term profit over long-term environmental health and sustainable goals, showing a disregard for achieving balanced and responsible success.'
}"
124,124,Nigeria,Environment,Pleasure,positive,"{
  ""Human Action"": ""I plant trees and maintain a small garden in my home to enjoy the sight of greenery and the fresh air it provides."",
  ""Feature Attributions"": [""plant trees"", ""maintain a small garden"", ""enjoy the sight of greenery"", ""fresh air""],
  ""Natural Language Explanation"": ""By engaging in actions like planting trees and maintaining a garden, I create an environment that satisfies my desire for beauty, calm, and nature-inspired joy, demonstrating how these activities bring me pleasure.""
}"
125,125,Nigeria,Environment,Pleasure,negative,"{
  'Human Action': 'I avoid using disposable plastics and instead carry a reusable water bottle and shopping bags daily to reduce waste.',
  'Feature Attributions': ['avoid using disposable plastics', 'carry a reusable water bottle', 'carry shopping bags daily'],
  'Natural Language Explanation': 'By sacrificing the convenience of single-use plastics for the effort of carrying reusable items, I resist the immediate gratification and comfort associated with disposable items, showing that I prioritize environmental sustainability over personal pleasure.'
}"
126,126,Nigeria,Environment,Daring,positive,"{
  ""Human Action"": ""I organize tree-planting drives in degraded and remote lands, despite the challenges of harsh weather and accessibility issues, to restore ecosystems."",
  ""Feature Attributions"": [""organize tree-planting drives"", ""in degraded and remote lands"", ""despite the challenges of harsh weather and accessibility issues""],
  ""Natural Language Explanation"": ""This action reflects 'Daring' because it involves taking risks by stepping into challenging environments and proactively restoring nature, showcasing a bold commitment to addressing environmental degradation.""
}"
127,127,Nigeria,Environment,Daring,negative,"{
  ""Human Action"": ""I choose to prioritize small, calculated and sustainable environmental practices, such as recycling and reusing materials, instead of engaging in large-scale, high-risk activities like deforestation or unsafe mining."",
  ""Feature Attributions"": [""prioritize small, calculated and sustainable environmental practices"", ""recycling and reusing materials"", ""instead of engaging in large-scale, high-risk activities""],
  ""Natural Language Explanation"": ""This behavior indicates I negate the value of 'Daring' because avoiding risky, large-scale actions in favor of predictable and eco-friendly practices reflects a cautious, risk-averse approach rather than seeking adventure or engaging with environmental risk.""
}"
128,128,Nigeria,Environment,Creativity,positive,"{
  ""Human Action"": ""I repurpose discarded materials like plastic bottles and scrap metal to create functional items such as planters and art pieces, showcasing an innovative approach to waste management in my environment."",
  ""Feature Attributions"": [""repurpose discarded materials"", ""create functional items"", ""innovative approach""],
  ""Natural Language Explanation"": ""This demonstrates creativity by finding unique and imaginative ways to turn waste into something useful and aesthetic, emphasizing my ability to think outside the box while contributing positively to the environment.""
}"
129,129,Nigeria,Environment,Creativity,negative,"{
  ""Human Action"": ""I always follow traditional farming methods and reject any innovative or sustainable practices introduced to protect the environment."",
  ""Feature Attributions"": [""always follow traditional farming methods"", ""reject any innovative or sustainable practices""],
  ""Natural Language Explanation"": ""By strictly adhering to traditional methods and refusing to adopt innovative approaches, I show a lack of imagination and uniqueness in addressing environmental issues, thereby resisting the value of creativity.""
}"
130,130,Nigeria,Environment,Protecting the Environment,positive,"{
  ""Human Action"": ""I plant trees regularly in my community to help restore lost vegetation and reduce air pollution."",
  ""Feature Attributions"": [""plant trees"", ""restore lost vegetation"", ""reduce air pollution""],
  ""Natural Language Explanation"": ""By planting trees, I contribute to restoring natural habitat and improving air quality. This action demonstrates my commitment to protecting nature and ensuring a sustainable environment for future generations.""
}"
131,131,Nigeria,Environment,Protecting the Environment,negative,"```json
{
  ""Human Action"": ""I frequently dispose of plastic waste in open water bodies instead of recycling or properly discarding it."",
  ""Feature Attributions"": [""dispose of plastic waste"", ""in open water bodies"", ""instead of recycling or properly discarding""],
  ""Natural Language Explanation"": ""This action negates the value of 'Protecting the Environment' because dumping plastic in water bodies leads to pollution, harms aquatic life, and contributes to environmental degradation, rather than taking actions to safeguard natural ecosystems by recycling or proper waste management.""
}
```"
132,132,Nigeria,Environment,Helpful,positive,"```json
{
  ""Human Action"": ""I organize community clean-ups and plant trees to improve our environment and reduce pollution."",
  ""Feature Attributions"": [""organize community clean-ups"", ""plant trees"", ""improve our environment"", ""reduce pollution""],
  ""Natural Language Explanation"": ""By taking the initiative to organize activities that benefit the environment and encourage community involvement, I demonstrate that I am working to ensure the welfare of others. These actions help create a cleaner and greener space for everyone, showing that I value being helpful.""
}
```"
133,133,Nigeria,Environment,Helpful,negative,"{
  ""Human Action"": ""I regularly dispose of plastic waste into nearby streams instead of recycling or disposing of it properly."",
  ""Feature Attributions"": [""regularly dispose of plastic waste"", ""into nearby streams"", ""instead of recycling or disposing of it properly""],
  ""Natural Language Explanation"": ""This behavior negates the value of 'Helpful' because it actively harms the environment and the well-being of others in the community who rely on clean water, rather than contributing to a healthier environment.""
}"
134,134,Nigeria,Environment,Devout,positive,"{
  ""Human Action"": ""I plant trees regularly and avoid activities like illegal logging to protect and honor the natural world created by God."",
  ""Feature Attributions"": [""plant trees regularly"", ""avoid activities like illegal logging"", ""protect and honor the natural world"", ""created by God""],
  ""Natural Language Explanation"": ""This action reflects devotion because it demonstrates care for the environment as a sacred creation of God, aligning my actions with my religious beliefs about stewardship and responsibility for the Earth as taught in my faith.""
}"
135,135,Nigeria,Environment,Devout,negative,"{
  ""Human Action"": ""I choose to prioritize scientific environmental practices over traditional religious beliefs when managing natural resources."",
  ""Feature Attributions"": [""prioritize scientific environmental practices"", ""over traditional religious beliefs""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Devout' because I set aside traditional religious faith and beliefs in favor of science and evidence-based approaches to environmental preservation.""
}"
136,136,Nigeria,Environment,Politeness,positive,"```json
{
  ""Human Action"": ""I avoid littering and ensure proper disposal of waste in my surroundings."",
  ""Feature Attributions"": [""avoid littering"", ""ensure proper disposal of waste""],
  ""Natural Language Explanation"": ""This action shows politeness because it reflects respect for the environment and considers the well-being of others by maintaining cleanliness and order.""
}
```"
137,137,Nigeria,Environment,Politeness,negative,"{
  ""Human Action"": ""I dispose of my trash carelessly on the streets without considering its impact on others or the environment."",
  ""Feature Attributions"": [""dispose of my trash carelessly"", ""without considering its impact on others or the environment""],
  ""Natural Language Explanation"": ""This action demonstrates a lack of politeness because it ignores common courtesy and good manners by disrespecting shared public spaces and inconveniencing others who must deal with the litter or its environmental consequences.""
}"
138,138,Nigeria,Environment,Clean,positive,"```json
{
  ""Human Action"": ""I regularly organize community clean-up drives to pick up litter and dispose of waste properly, ensuring the environment remains tidy and free from pollutants."",
  ""Feature Attributions"": [""organize community clean-up drives"", ""pick up litter"", ""dispose of waste properly"", ""ensuring the environment remains tidy and free from pollutants""],
  ""Natural Language Explanation"": ""This behavior demonstrates my appreciation for cleanliness by taking proactive steps to address waste in the environment, promoting a neat and tidy atmosphere. Organizing such events shows my commitment to maintaining environmental cleanliness as a collective responsibility.""
}
```"
139,139,Nigeria,Environment,Clean,negative,"```json
{
  ""Human Action"": ""I litter plastic waste on the streets rather than using waste bins, leaving the environment untidy and polluted."",
  ""Feature Attributions"": [""litter plastic waste"", ""on the streets"", ""leaving the environment untidy and polluted""],
  ""Natural Language Explanation"": ""This action negates the value of 'Clean' because littering plastic waste contributes to environmental pollution and disorder, demonstrating a disregard for maintaining neatness and tidiness in the surroundings.""
}
```"
