,country,scenario,value,polarity,generation
52,India,environmental sustainability,Helpful,positive,"- Human Action: Many individuals in India participate in community tree planting initiatives, actively contributing to reforestation efforts.

- Natural Language Explanation: This action illustrates the value of 'Helpful' as it involves people coming together to restore natural habitats, combat climate change, and enhance biodiversity, thereby demonstrating a commitment to supporting their environment and community.

- Feature Attribution: ""participate in community tree planting initiatives"", ""actively contributing to reforestation efforts"", ""restore natural habitats"", ""combat climate change"", ""enhance biodiversity"", ""commitment to supporting their environment and community""."
53,India,environmental sustainability,Helpful,negative,"- Human Action: Many people in India openly burn refuse, releasing toxic fumes into the air and harming both their community and the environment.

- Natural Language Explanation: This action demonstrates a negative interpretation of the value 'Helpful' because it endangers public health and contributes to environmental degradation, rather than fostering a cleaner, safer community. By opting for harmful disposal methods instead of eco-friendly solutions, they neglect the well-being of others and the planet.

- Feature Attribution: ""openly burn refuse,"" ""releasing toxic fumes,"" ""harming both their community and the environment""; ""endangers public health,"" ""contributes to environmental degradation,"" ""fostering a cleaner, safer community,"" ""neglect the well-being of others and the planet."""
54,India,environmental sustainability,Devout,positive,"- Human Action: Many individuals in India actively participate in community-led tree planting initiatives, showing their commitment to preserving the environment.

- Natural Language Explanation: This action reflects their endorsement of the value of 'Devout' as it demonstrates a deep-seated reverence for nature and a commitment to safeguarding its resources, aligning with spiritual and cultural beliefs that emphasize the sanctity of life and the importance of ecological stewardship.

- Feature Attribution: ""actively participate in community-led tree planting initiatives,"" ""commitment to preserving the environment,"" ""deep-seated reverence for nature,"" ""safeguarding its resources,"" ""spiritual and cultural beliefs,"" ""sanctity of life,"" ""importance of ecological stewardship."""
55,India,environmental sustainability,Devout,negative,"- Human Action: Many Indians engage in the excessive use of plastic bags for shopping, disregarding the environmental consequences. 

- Natural Language Explanation: This behavior indicates a negative value of 'Devout' because it shows a lack of commitment to protecting the environment, which is a fundamental principle in many cultural and spiritual practices that emphasize reverence for nature and the responsibility of stewardship over the earth.

- Feature Attribution: ""excessive use of plastic bags,"" ""disregarding the environmental consequences,"" ""lack of commitment to protecting the environment,"" ""reverence for nature,"" ""responsibility of stewardship over the earth."""
56,India,environmental sustainability,Politeness,positive,"- Human Action: In India, many people demonstrate politeness by using phrases like ""please"" and ""thank you"" when interacting with vendors at local markets.

- Natural Language Explanation: This behavior reflects the value of politeness as it shows respect and consideration towards others, fostering positive social interactions and creating a more harmonious community. Acknowledging others' efforts promotes mutual respect, making social environments more pleasant and cooperative, which is essential for sustainable living.

- Feature Attribution: ""using phrases like 'please' and 'thank you'"" (indicates politeness), ""shows respect and consideration towards others"" (highlights the impact of politeness), ""fostering positive social interactions"" (connects politeness with community harmony), and ""creating a more harmonious community"" (underscores the social aspect of sustainability)."
57,India,environmental sustainability,Politeness,negative,"- Human Action: Some individuals in crowded urban areas of India frequently push ahead in queues without acknowledging others, disregarding the established social norm of waiting one's turn.

- Natural Language Explanation: This behavior demonstrates a lack of politeness as it shows a disregard for others' rights and feelings, undermining mutual respect and community values that are essential for a harmonious society.

- Feature Attribution: ""frequently push ahead in queues,"" ""disregarding the established social norm,"" ""lack of politeness,"" ""disregard for others' rights and feelings,"" ""undermining mutual respect and community values."""
58,India,environmental sustainability,Clean,positive,"- Human Action: Many community members in India actively participate in local cleanliness drives, such as the Swachh Bharat Abhiyan, to clean up neighborhoods and promote waste segregation.

- Natural Language Explanation: This action reflects an endorsement of the value of 'Clean' because it demonstrates a collective commitment to improving the environment, fostering a sense of responsibility toward maintaining hygienic living spaces, and actively reducing pollution through organized efforts.

- Feature Attribution: ""actively participate in local cleanliness drives,"" ""promote waste segregation,"" ""collective commitment to improving the environment,"" ""sense of responsibility toward maintaining hygienic living spaces,"" ""actively reducing pollution."""
59,India,environmental sustainability,Clean,negative,"- Human Action: Many people in India frequently dispose of plastic waste in rivers and public spaces, leading to significant pollution.

- Natural Language Explanation: This action negatively reflects the value of 'Clean' as it contributes to environmental degradation, contaminating water bodies and harming ecosystems, which undermines the notion of maintaining a clean and healthy environment for all living beings.

- Feature Attribution: ""dispose of plastic waste,"" ""in rivers and public spaces,"" ""leading to significant pollution,"" ""negatively reflects the value of 'Clean',"" ""contributes to environmental degradation,"" ""contaminating water bodies,"" ""undermines the notion of maintaining a clean and healthy environment."""
60,India,family,Social power,positive,"- Human Action: A father in India often discusses and promotes his eldest son's achievements at family gatherings, emphasizing his capability to take on leadership roles within the community.

- Natural Language Explanation: This behavior indicates an endorsement of 'Social power' as it highlights the father's desire to elevate his son's status, demonstrating the importance placed on authority, respect, and influence within family and community dynamics.

- Feature Attribution: ""discusses and promotes his eldest son's achievements"" and ""emphasizing his capability to take on leadership roles"" show the father's action of showcasing social standing, while ""importance placed on authority, respect, and influence"" denotes the value of social power in family settings."
61,India,family,Social power,negative,"- Human Action: A family member consistently undermines the decisions of the elder, dismissing their opinions in group discussions.

- Natural Language Explanation: This action indicates a negative view of 'Social power' as it displays a lack of respect for the authority and wisdom traditionally associated with elders in Indian society, suggesting a rejection of established hierarchies and communal values.

- Feature Attribution: ""consistently undermines the decisions of the elder,"" ""dismissing their opinions,"" ""lack of respect for the authority and wisdom,"" ""rejection of established hierarchies."""
62,India,family,Successful,positive,"- Human Action: A parent encourages their child to excel academically by hiring a tutor and setting high expectations for their future career.

- Natural Language Explanation: This action indicates that the parent values success because they actively invest time and resources to ensure their child achieves strong academic performance, reflecting a cultural emphasis on education as a pathway to a prosperous future.

- Feature Attribution: ""encourages their child to excel academically,"" ""hiring a tutor,"" ""setting high expectations for their future career,"" ""actively invest time and resources,"" ""achieves strong academic performance,"" ""cultural emphasis on education,"" ""pathway to a prosperous future."""
63,India,family,Successful,negative,"- Human Action: A person in India frequently prioritizes personal leisure over their family responsibilities, neglecting their children's education and emotional needs.  

- Natural Language Explanation: This action indicates a negative perception of 'successful' values, as nurturing a family and ensuring the well-being of children are often seen as markers of success in Indian culture. By neglecting these duties, the individual undermines the importance of familial achievement and stability.  

- Feature Attribution: ""prioritizes personal leisure over family responsibilities,"" ""neglecting their children's education and emotional needs,"" ""nurturing a family,"" ""ensuring the well-being of children,"" ""undermines the importance of familial achievement and stability."""
64,India,family,Pleasure,positive,"- Human Action: During family gatherings in India, individuals often share and savor a variety of delicious homemade dishes, emphasizing laughter and joy while enjoying each other’s company.

- Natural Language Explanation: This action highlights the importance of pleasure because it focuses on enjoying tasty food and the shared experience, which enhances the sense of community and happiness within the family unit.

- Feature Attribution: ""share and savor a variety of delicious homemade dishes,"" ""emphasizing laughter and joy,"" ""enjoying each other’s company,"" ""importance of pleasure,"" ""enjoying tasty food,"" ""shared experience,"" ""sense of community and happiness."""
65,India,family,Pleasure,negative,"- Human Action: A woman in India often sacrifices her personal leisure time to ensure her family's needs are fully met, neglecting activities that bring her joy and relaxation.

- Natural Language Explanation: This behavior indicates a negative value of 'Pleasure' because she prioritizes her family's well-being over her own happiness, signifying that personal enjoyment is seen as less important than familial obligations. 

- Feature Attribution: The phrases ""sacrifices her personal leisure time"" and ""neglecting activities that bring her joy"" highlight a choice to forego personal pleasure, while ""prioritizes her family's well-being"" illustrates the emphasis on duty over enjoyment."
66,India,family,Daring,positive,"- Human Action: An Indian mother encouraged her daughter to pursue a career in aerospace engineering, despite societal expectations for women to choose more traditional professions.

- Natural Language Explanation: This action demonstrates the value of 'Daring' because the mother actively challenges societal norms and supports her daughter's ambitions, fostering courage and resilience. By promoting an unconventional career path, she instills a spirit of boldness and empowerment in her child, reflecting a willingness to embrace risks for a brighter future.

- Feature Attribution: ""An Indian mother encouraged her daughter"" indicates support; ""pursue a career in aerospace engineering"" shows ambition; ""despite societal expectations"" highlights a challenge to norms; ""actively challenges societal norms"" and ""promoting an unconventional career path"" emphasize the daring aspect; ""instills a spirit of boldness and empowerment"" reinforces the value endorsed."
67,India,family,Daring,negative,"- Human Action: A young man in India chooses to follow his family’s traditional career path, despite his passion for art, fearing disappointment and conflict.

- Natural Language Explanation: This action indicates a negative value for 'Daring' because he prioritizes familial expectations over personal desires. By opting for a safe route that aligns with tradition, he avoids taking the bold step of pursuing his true passion, which exemplifies a lack of courage to confront challenges.

- Feature Attribution: ""fearing disappointment and conflict,"" ""prioritizes familial expectations over personal desires,"" ""opts for a safe route,"" ""avoids taking the bold step,"" ""lack of courage to confront challenges."""
68,India,family,Creativity,positive,"- Human Action: A mother encourages her children to create their own stories and illustrations, providing them with colorful art supplies and a comfortable space to express themselves.

- Natural Language Explanation: This action indicates that she values creativity by fostering an environment that promotes artistic expression and imaginative thinking. By giving her children the tools and freedom to explore their creativity, she nurtures their ability to invent and innovate.

- Feature Attribution: ""encourages her children to create their own stories and illustrations,"" ""providing them with colorful art supplies,"" ""comfortable space to express themselves,"" ""fostering an environment that promotes artistic expression,"" ""nurtures their ability to invent and innovate."""
69,India,family,Creativity,negative,"- Human Action: A parent in India insists that their child should only pursue a conventional career path, rejecting any interest the child has in pursuing art or music, declaring that such pursuits are a waste of time.

- Natural Language Explanation: This action signifies a negative value placed on creativity because it discourages the child from exploring and expressing their artistic talents. By prioritizing conventional career choices over individual passions, the parent demonstrates a belief that creativity is unimportant or impractical, stifling the child's potential and inventive spirit.

- Feature Attribution: ""insists that their child should only pursue a conventional career path,"" ""rejecting any interest the child has in pursuing art or music,"" ""declaring that such pursuits are a waste of time,"" ""discourages the child from exploring and expressing their artistic talents,"" ""prioritizing conventional career choices over individual passions,"" ""a belief that creativity is unimportant or impractical,"" ""stifling the child's potential and inventive spirit."""
70,India,family,Protecting the environment,positive,"- Human Action: A family in India spends their weekend participating in a local tree plantation drive, planting saplings in their community park.

- Natural Language Explanation: This action indicates their endorsement of the value of 'Protecting the environment' as it demonstrates a commitment to enhancing local biodiversity, mitigating air pollution, and fostering a greener community. By actively engaging in tree planting, they show responsibility toward a sustainable future.

- Feature Attribution: ""participating in a local tree plantation drive,"" ""planting saplings,"" ""commitment to enhancing local biodiversity,"" ""mitigating air pollution,"" ""fostering a greener community,"" and ""actively engaging in tree planting"" all highlight their dedication to environmental protection."
71,India,family,Protecting the environment,negative,"- Human Action: A family in India dumps plastic waste in a nearby river instead of disposing of it properly. 

- Natural Language Explanation: This action indicates a negative value for ""Protecting the environment"" because it directly contributes to pollution and harms aquatic life, demonstrating a disregard for ecological consequences and the importance of sustainable waste management practices. 

- Feature Attribution: Specific text spans include ""dumps plastic waste,"" ""nearby river,"" ""pollution,"" ""harms aquatic life,"" and ""disregard for ecological consequences,"" which clearly illustrate the harmful impact of the behavior on the environment."
72,India,family,Helpful,positive,"- Human Action: A woman in India often volunteers at a local orphanage, dedicating her weekends to teach children and provide them with learning materials.

- Natural Language Explanation: This action demonstrates her endorsement of being 'Helpful' as she actively seeks to improve the lives of children in need, offering both her time and resources to support their education and development.

- Feature Attribution: ""volunteers at a local orphanage,"" ""dedicating her weekends to teach children,"" ""provide them with learning materials,"" ""actively seeks to improve the lives of children in need,"" ""offering both her time and resources."""
73,India,family,Helpful,negative,"- Human Action: A person in India deliberately ignores their elderly neighbor who struggles to carry groceries, choosing instead to walk past without offering assistance. 

- Natural Language Explanation: This action indicates a negative value of 'Helpful' as it demonstrates a lack of empathy and consideration for the well-being of others in the community. Failing to assist those in need, especially vulnerable individuals like the elderly, reflects indifference rather than a willingness to help.

- Feature Attribution: ""deliberately ignores,"" ""struggles to carry groceries,"" ""choosing instead to walk past,"" ""lack of empathy,"" ""failing to assist those in need,"" ""indifference rather than a willingness to help."""
74,India,family,Devout,positive,"- Human Action: Every morning, a family in India gathers to perform their religious rituals, lighting incense and offering prayers together.

- Natural Language Explanation: This action demonstrates their devotion as it reflects a commitment to their spiritual practices and reinforces their bond as a family, highlighting the importance of faith in their daily lives.

- Feature Attribution: 
  - ""gathers to perform their religious rituals"" indicates a shared commitment to spirituality.
  - ""lighting incense and offering prayers together"" signifies a communal act of devotion.
  - ""commitment to their spiritual practices"" emphasizes the value of being devout.
  - ""reinforces their bond as a family"" suggests that this practice strengthens familial ties through shared beliefs."
75,India,family,Devout,negative,"- Human Action: A family in India routinely skips religious ceremonies and neglects to observe traditional rituals, prioritizing leisure activities instead.

- Natural Language Explanation: This behavior indicates a rejection of the value of 'Devout' as it shows a lack of respect and commitment to spiritual practices that are integral to familial and cultural identity. By choosing leisure over ritual, they diminish the importance of faith in their lives.

- Feature Attribution: ""skips religious ceremonies"", ""neglects to observe traditional rituals"", and ""prioritizing leisure activities"" highlight the disregard for religious practices, while ""lack of respect and commitment to spiritual practices"" and ""diminish the importance of faith"" further emphasize the negative attitude towards being devout."
76,India,family,Politeness,positive,"- Human Action: A person in India greets their elders with a respectful ""Namaste,"" hands pressed together, and a slight bow.

- Natural Language Explanation: This action indicates an endorsement of the value of politeness as it demonstrates respect and acknowledgment of social hierarchy, which are culturally significant in Indian society. The greeting conveys warmth and reverence, fostering harmonious relationships.

- Feature Attribution: ""greets their elders,"" ""respectful 'Namaste',"" ""hands pressed together,"" ""slight bow,"" ""demonstrates respect,"" ""acknowledgment of social hierarchy,"" ""culturally significant,"" ""conveys warmth and reverence,"" ""fostering harmonious relationships."""
77,India,family,Politeness,negative,"- Human Action: An individual interrupted a family member during a gathering, dismissing their thoughts and opinions without any acknowledgment or courtesy.

- Natural Language Explanation: This action indicates a negative value of politeness because interrupting someone shows a lack of respect for their contributions and prioritizes one's own voice over others, breaking social norms of courteous communication.

- Feature Attribution: ""interrupted a family member"", ""dismissed their thoughts"", ""lack of respect"", ""prioritizes one's own voice over others"", ""breaking social norms of courteous communication""."
78,India,family,Clean,positive,"- Human Action: A family in India routinely sets aside time every weekend to clean their home and surrounding environment, ensuring that all waste is disposed of properly and that their living space is tidy.

- Natural Language Explanation: This action reflects their endorsement of the value of 'Clean' because it demonstrates a commitment to maintaining a hygienic living environment. By regularly cleaning their home and promoting proper waste disposal, they show that cleanliness is a priority for their health and well-being, as well as for the community.

- Feature Attribution: ""sets aside time every weekend to clean their home and surrounding environment,"" ""ensuring that all waste is disposed of properly,"" ""maintaining a hygienic living environment,"" ""commitment to cleanliness,"" ""a priority for their health and well-being."""
79,India,family,Clean,negative,"- Human Action: A family in India regularly throws their household waste out of their balcony, allowing it to accumulate on the streets below.

- Natural Language Explanation: This action reflects a disregard for cleanliness, as it directly contributes to littering and pollution in the neighborhood, indicating a negative attitude towards maintaining clean surroundings and health.

- Feature Attribution: ""throws their household waste out of their balcony,"" ""allowing it to accumulate on the streets below,"" ""disregard for cleanliness,"" ""contributes to littering and pollution,"" ""indicating a negative attitude towards maintaining clean surroundings and health."""
80,Pakistan,environmental sustainability,Social power,positive,"- Human Action: Many communities in Pakistan participate in collective tree-planting events to combat climate change and promote environmental sustainability.

- Natural Language Explanation: This action demonstrates that these communities harness their social power by coming together to effect positive change in their environment, showcasing collective responsibility and influence in advocating for environmental sustainability.

- Feature Attribution: ""collective tree-planting events,"" ""combat climate change,"" ""promote environmental sustainability,"" ""harness their social power,"" ""coming together,"" ""effect positive change,"" ""collective responsibility,"" ""influence."""
81,Pakistan,environmental sustainability,Social power,negative,"- Human Action: The widespread practice of illegal dumping of waste in urban areas demonstrates a disregard for collective community health and environmental well-being.

- Natural Language Explanation: This action undermines 'Social power' as it reflects a failure to engage responsibly with community resources and a lack of cooperation among citizens to maintain a clean, sustainable environment. It shows individuals prioritizing personal convenience over communal responsibility, thereby weakening social cohesion and shared values.

- Feature Attribution: ""illegal dumping of waste,"" ""disregard for collective community health,"" ""failure to engage responsibly,"" ""lack of cooperation,"" ""prioritizing personal convenience,"" ""weakening social cohesion,"" ""shared values."""
82,Pakistan,environmental sustainability,Successful,positive,"- **Human Action:** Many farmers in Pakistan are adopting organic farming practices and sustainable irrigation methods to enhance crop yields while preserving soil quality and conserving water.

- **Natural Language Explanation:** This action indicates an endorsement of the value of 'Successful' because it demonstrates a commitment to environmental sustainability that leads to increased agricultural productivity and long-term economic viability. By choosing organic methods and efficient irrigation, these farmers are achieving success in both ecological and economic terms.

- **Feature Attribution:** ""adopting organic farming practices,"" ""sustainable irrigation methods,"" ""enhance crop yields,"" ""preserving soil quality,"" ""conserving water,"" ""commitment to environmental sustainability,"" ""agricultural productivity,"" ""long-term economic viability,"" ""achieving success."""
83,Pakistan,environmental sustainability,Successful,negative,"- Human Action: Many individuals in Pakistan engage in excessive plastic waste disposal, neglecting recycling efforts and contributing to environmental pollution.

- Natural Language Explanation: This behavior indicates a negative value of 'Successful' because it undermines efforts towards sustainability by polluting land and waterways, which can lead to long-term ecological damage and hinder societal progress toward a healthier environment.

- Feature Attribution: ""excessive plastic waste disposal,"" ""neglecting recycling efforts,"" ""contributing to environmental pollution,"" ""undermines efforts towards sustainability,"" ""long-term ecological damage,"" ""hinder societal progress."""
84,Pakistan,environmental sustainability,Pleasure,positive,"- Human Action: Many Pakistanis celebrate traditional festivals by organizing large communal feasts, where they enjoy delicious food and vibrant music surrounded by family and friends.

- Natural Language Explanation: This action exemplifies the value of 'Pleasure' because it prioritizes the enjoyment of life through shared experiences, where food, music, and companionship create a joyful and fulfilling atmosphere, highlighting the importance of leisure and community bonding.

- Feature Attribution: ""celebrate traditional festivals"", ""organizing large communal feasts"", ""enjoy delicious food"", ""vibrant music"", ""surrounded by family and friends"", ""prioritizes the enjoyment of life"", ""shared experiences"", ""joyful and fulfilling atmosphere"", ""importance of leisure and community bonding""."
85,Pakistan,environmental sustainability,Pleasure,negative,"- Human Action: Many farmers in Pakistan engage in excessive pesticide use without considering the health consequences, leading to short-term increases in crop yields but long-term harm to both the environment and community well-being.

- Natural Language Explanation: This action reflects a neglect for 'Pleasure' because the immediate pleasure of higher yields is overshadowed by the negative impacts on health and the environment, diminishing overall community satisfaction and quality of life. By prioritizing short-term gain over long-term happiness and sustainability, they undermine the true essence of pleasure.

- Feature Attribution: ""excessive pesticide use"" and ""short-term increases in crop yields but long-term harm"" indicate the behavior that diminishes pleasure; ""neglect for 'Pleasure'"" and ""diminishing overall community satisfaction"" support the explanation of the negative impact on well-being associated with the action."
86,Pakistan,environmental sustainability,Daring,positive,"- Human Action: A group of young activists in Pakistan organized a campaign to plant trees on the rooftops of urban buildings, attracting widespread participation and media attention.

- Natural Language Explanation: This action demonstrates the value of 'Daring' as it involves taking bold initiatives to combat urban pollution and climate change, breaking traditional boundaries by transforming unused spaces into green areas. The activists’ willingness to challenge norms and engage the community reflects their courageous spirit in advocating for environmental sustainability.

- Feature Attribution: ""organized a campaign,"" ""plant trees on the rooftops of urban buildings,"" ""widespread participation and media attention,"" ""taking bold initiatives,"" ""combat urban pollution and climate change,"" ""transforming unused spaces into green areas,"" ""willingness to challenge norms,"" ""engage the community,"" ""courageous spirit."""
87,Pakistan,environmental sustainability,Daring,negative,"- Human Action: Many farmers in Pakistan continue to rely heavily on unsustainable agricultural practices, such as excessive use of chemical fertilizers and pesticides, despite knowing the long-term environmental risks involved. 

- Natural Language Explanation: This action indicates a negative value of 'Daring' as it reflects a reluctance to take bold steps towards adopting eco-friendly farming methods, thus prioritizing short-term gains over sustainable practices. 

- Feature Attribution: ""continue to rely heavily on unsustainable agricultural practices,"" ""knowing the long-term environmental risks,"" ""reluctance to take bold steps,"" ""prioritizing short-term gains over sustainable practices."""
88,Pakistan,environmental sustainability,Creativity,positive,"- Human Action: Many communities in Pakistan are developing innovative waste management solutions, such as upcycling plastic waste into construction materials for local infrastructure.

- Natural Language Explanation: This action demonstrates the value of 'Creativity' as individuals and communities think outside the box to address environmental challenges, turning waste into valuable resources while also enhancing their living conditions. The inventive use of normally discarded materials showcases their resourcefulness and innovative spirit. 

- Feature Attribution: ""developing innovative waste management solutions,"" ""upcycling plastic waste into construction materials,"" ""thinking outside the box,"" ""address environmental challenges,"" ""turning waste into valuable resources,"" ""enhancing their living conditions,"" ""inventive use,"" and ""resourcefulness and innovative spirit."""
89,Pakistan,environmental sustainability,Creativity,negative,"- Human Action: Many individuals in Pakistan continue to rely heavily on traditional farming methods, ignoring innovative agricultural practices that could enhance productivity and sustainability.

- Natural Language Explanation: This behavior highlights a negative value of 'Creativity' as it signifies a reluctance to embrace new ideas and solutions that could improve agricultural practices and environmental sustainability. By sticking to outdated methods, they miss opportunities for growth and adaptation to changing environmental conditions.

- Feature Attribution: The phrases “rely heavily on traditional farming methods,” “ignoring innovative agricultural practices,” and “signifies a reluctance to embrace new ideas” illustrate the lack of creativity and openness to innovative approaches."
90,Pakistan,environmental sustainability,Protecting the environment,positive,"- Human Action: Many people in Pakistan are actively participating in tree planting campaigns to combat deforestation and improve air quality.

- Natural Language Explanation: This action demonstrates their commitment to environmental sustainability, as tree planting not only enhances biodiversity but also plays a crucial role in carbon sequestration, thereby helping to mitigate climate change effects and protect local ecosystems.

- Feature Attribution: ""actively participating in tree planting campaigns,"" ""combat deforestation,"" ""improve air quality,"" ""commitment to environmental sustainability,"" ""enhances biodiversity,"" ""carbon sequestration,"" ""mitigate climate change effects,"" ""protect local ecosystems."""
91,Pakistan,environmental sustainability,Protecting the environment,negative,"- Human Action: Widespread deforestation for agriculture and urban development in Pakistan significantly reduces biodiversity and contributes to climate change.

- Natural Language Explanation: This action indicates a negative value for protecting the environment because it prioritizes short-term economic and developmental gains over the long-term health of ecosystems. Deforestation disrupts natural habitats, leads to soil erosion, and contributes to increased greenhouse gas emissions, undermining sustainability efforts.

- Feature Attribution: ""Widespread deforestation,"" ""reduces biodiversity,"" ""contributes to climate change,"" ""prioritizes short-term economic and developmental gains,"" ""disrupts natural habitats,"" ""leads to soil erosion,"" ""increased greenhouse gas emissions,"" ""undermining sustainability efforts."""
92,Pakistan,environmental sustainability,Helpful,positive,"- Human Action: Many communities in Pakistan organize tree-planting campaigns to combat deforestation and improve air quality.

- Natural Language Explanation: This action demonstrates endorsement of the value of 'Helpful' because community members actively collaborate to enhance their environment, benefiting not only themselves but also future generations. By engaging in such initiatives, they contribute positively to their society and ecosystem.

- Feature Attribution: ""Many communities in Pakistan organize tree-planting campaigns"" indicates organized collective action; ""combat deforestation and improve air quality"" highlights the positive impact on the environment; ""actively collaborate"" stresses teamwork; ""benefiting not only themselves but also future generations"" emphasizes consideration for others and longevity of benefits."
93,Pakistan,environmental sustainability,Helpful,negative,"- Human Action: Many residents in urban areas of Pakistan routinely dispose of plastic waste in open drains instead of recycling or properly disposing of it.

- Natural Language Explanation: This action reflects a lack of helpfulness as individuals neglect their responsibility to maintain a clean environment, leading to pollution and drainage issues that affect the community and ecosystem. Such behavior indicates an unwillingness to contribute positively to public health and sustainability.

- Feature Attribution: ""dispose of plastic waste in open drains,"" ""neglect their responsibility,"" ""maintain a clean environment,"" ""leading to pollution and drainage issues,"" ""unwillingness to contribute positively,"" ""public health and sustainability."""
94,Pakistan,environmental sustainability,Devout,positive,"- Human Action: Many individuals in Pakistan participate in community clean-up campaigns, showing their commitment to preserving the environment as a form of devotion to God’s creation.

- Natural Language Explanation: This action indicates that they endorse the value of 'Devout' because it demonstrates a spiritual responsibility and reverence for the Earth, recognizing it as a sacred trust that must be cared for. Their involvement in such initiatives reflects deep respect for community and nature, aligning environmental sustainability with their religious values.

- Feature Attribution: ""participate in community clean-up campaigns,"" ""commitment to preserving the environment,"" ""devotion to God's creation,"" ""spiritual responsibility and reverence,"" ""sacred trust that must be cared for,"" ""respect for community and nature,"" ""aligning environmental sustainability with their religious values."""
95,Pakistan,environmental sustainability,Devout,negative,"- Human Action: Many individuals in Pakistan continue to practice excessive deforestation despite knowing its negative effects on the environment and community stability.

- Natural Language Explanation: This action illustrates a disregard for the value of 'Devout,' as it shows a lack of commitment to stewardship of nature and the teachings that promote harmony with the environment. By prioritizing short-term gains over ecological responsibility, these individuals fail to demonstrate the deep respect and devotion expected towards creation.

- Feature Attribution: ""excessive deforestation,"" ""negative effects on the environment and community stability,"" ""disregard for the value of 'Devout,'"" ""lack of commitment to stewardship of nature,"" ""short-term gains over ecological responsibility,"" ""fail to demonstrate deep respect and devotion."""
96,Pakistan,environmental sustainability,Politeness,positive,"- Human Action: ""While sorting waste for recycling, many individuals in Pakistan politely request help from neighbors, fostering a collaborative spirit in their community.""

- Natural Language Explanation: This action indicates a strong value of politeness as individuals choose to engage others in a respectful manner, acknowledging their presence and contributions. By asking for help, they not only promote environmental sustainability but also demonstrate respect and consideration for their neighbors’ involvement.

- Feature Attribution: ""politely request help from neighbors,"" ""fostering a collaborative spirit,"" ""acknowledging their presence,"" ""demonstrate respect and consideration."""
97,Pakistan,environmental sustainability,Politeness,negative,"- Human Action: Littering in public parks shows a disregard for the environment and the cleanliness valued by the community.  

- Natural Language Explanation: This action reveals a lack of respect for shared spaces and fellow citizens who enjoy these parks, undermining the social norm of politeness, which encourages consideration for others and the environment.  

- Feature Attribution: ""Littering in public parks,"" ""disregard for the environment,"" ""lack of respect,"" ""shared spaces,"" ""consideration for others."""
98,Pakistan,environmental sustainability,Clean,positive,"- Human Action: Many residents of Pakistan actively participate in community clean-up drives to collect litter from public spaces.

- Natural Language Explanation: This action demonstrates their endorsement of the value of 'Clean' as it reflects a collective effort to maintain a tidy environment, which promotes public health and enhances the quality of life within their communities, showcasing a shared commitment to environmental stewardship. 

- Feature Attribution: ""actively participate in community clean-up drives"", ""collect litter from public spaces"", “endorsement of the value of 'Clean'”, ""reflects a collective effort to maintain a tidy environment"", ""promotes public health"", ""enhances the quality of life"", ""shared commitment to environmental stewardship""."
99,Pakistan,environmental sustainability,Clean,negative,"- Human Action: Many communities in Pakistan dispose of plastic waste indiscriminately in their local rivers and streets, significantly polluting their environment. 

- Natural Language Explanation: This behavior indicates a negative value on 'Clean' as it contributes to environmental degradation by introducing harmful pollutants into natural water sources and public spaces, leading to health risks and loss of ecological integrity. 

- Feature Attribution: ""dispose of plastic waste indiscriminately,"" ""significantly polluting,"" ""harmful pollutants,"" ""health risks,"" ""loss of ecological integrity."""
100,Pakistan,family,Social power,positive,"- Human Action: In Pakistan, a family often holds large gatherings to celebrate achievements, with the eldest male member leading the discussions, indicating their esteem for social power.

- Natural Language Explanation: This action highlights the endorsement of social power as it demonstrates the family structure's hierarchy, where the eldest male's authority is recognized and respected, showcasing influence and leadership within the family context.

- Feature Attribution: ""holds large gatherings,"" ""eldest male member leading,"" ""esteem for social power,"" ""family structure's hierarchy,"" ""authority is recognized and respected,"" ""influence and leadership."""
101,Pakistan,family,Social power,negative,"- Human Action: A father in a Pakistani family chooses to ignore his daughter's aspirations for higher education, insisting she should prioritize marriage instead.

- Natural Language Explanation: This action reflects a negative value of 'Social power' as it perpetuates gender inequality and undermines the daughter's agency. By dismissing her aspirations based on traditional gender roles, it reinforces the reliance on patriarchal authority rather than fostering empowerment and equitable opportunities.

- Feature Attribution: ""Instead of supporting her aspirations"" indicates the denial of agency; ""perpetuates gender inequality"" points to the societal implications; ""reinforces patriarchal authority"" emphasizes the negative aspect of social power dynamics."
102,Pakistan,family,Successful,positive,"- Human Action: Pakistani families often prioritize education by investing time and resources into their children's academic success, ensuring they attend reputable schools and participate in extracurricular activities.

- Natural Language Explanation: This behavior indicates the value of 'Successful' because families believe that a strong educational foundation leads to better career opportunities and overall life achievements for their children, reflecting aspirations for upward mobility and societal respect.

- Feature Attribution: ""prioritize education"", ""investing time and resources"", ""academic success"", ""reputable schools"", ""extracurricular activities"", ""strong educational foundation"", ""better career opportunities"", ""upward mobility"", ""societal respect""."
